item_name,text,type,answers,values,side_by_side,question_width,optional,score:da_general,score:da_gaming,score:da_social_media,socre:da_messaging,score:da_streaming_video,score:da_reading,score:shopping,
CIAS_M1,In general,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_M2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_M3,On social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_M4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_M5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_M6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_M7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions14
","<span style='color:#006699'><span style='font-size:20px'>Going online for _____ is the first thought I have when I wake up each morning.  <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_N1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_N2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_N3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_N4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_N5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_N6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_N7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions15
","<span style='color:#006699'><span style='font-size:20px'>Going online for the purpose of ______ has negatively affected my schoolwork or job performance.  <br>
",instruct,,,,,,,,,,,,,
CIAS_O1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_O2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_O3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_O4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_O5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_O6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_O7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions16
","<span style='color:#006699'><span style='font-size:20px'>I feel like I am missing something if I am not online ______ for a certain period of time. <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_P1,In general,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_P2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_P3,On social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_P4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_P5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_P6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_P7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions17
","<span style='color:#006699'><span style='font-size:20px'>Going online for ______ has directly caused my interactions with family members to decrease. <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_Q1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_Q2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_Q3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_Q4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_Q5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_Q6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_Q7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions18
","<span style='color:#006699'><span style='font-size:20px'>Going online for ______ has resulted in my time spent doing recreational activities to decrease.  <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_R1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_R2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_R3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_R4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_R5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_R6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_R7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions19
","<span style='color:#006699'><span style='font-size:20px'>I fail to control the impulse to return to online ______ after closing an app/website. <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_S1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_S2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_S3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_S4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_S5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_S6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_S7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions20
","<span style='color:#006699'><span style='font-size:20px'>My life would be joyless without using the internet for ______ .  <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_T1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_T2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_T3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_T4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_T5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_T6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_T7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions21
","<span style='color:#006699'><span style='font-size:20px'>Going online with the purpose of ______ has negatively affected my physical health.    <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_U1,General use,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
CIAS_U2,Gaming,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,1,,,,,,
CIAS_U3,Social media,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,1,,,,,
CIAS_U4,Messaging,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,1,,,,
CIAS_U5,Streaming videos,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,1,,,
CIAS_U6,Reading content,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,1,,
CIAS_U7,Shopping,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,,,,,,,1,
"Instructions22
","<span style='color:#006699'><span style='font-size:20px'>I have tried to spend less time ______online but have been unsuccessful.  <br>
<br>
",instruct,,,,,,,,,,,,,
CIAS_V1,In general,likert,Does not match my experience at all|Probably does <b>not</b> match my experience|Probably matches my experience|Definitely matches my experience,0|1|2|3,yes,20%,no,1,,,,,,,
